Category,Character,Gender,EN Voice ID,DE Voice ID,FR Voice ID,IT Voice ID,ES Voice ID
Persona Characters,Aristotle,M,zQzvQBubVkDWYuqJYMFn,fNQuGwgi0iD0nacRyExh,hqfrgApggtO1785R4Fsn,ts9siqBZkKbGEMralWeB,U9jmr7kY6mMqS39kfA01
Persona Characters,Oscar Wilde,M,NmpxQl3ZUbfh8HgoNCGM,NV8D9kv4W21bIe2GkOiE,EIe4oLyymVX7lKVYli9m,mJSddcekWUkB3BOnjPFb,9F4C8ztpNUmXkdDDbz3J
Persona Characters,Kafka,M,pw8bioilqsSn2jApHYwT,JNpQqni9iUx1Jxy9h0P1,I0ZNjxaJrLklKmZK1mlA,j3UNUUQhiTpAHRamlKzR,rpqlUOplj0Q0PIilat8h
Persona Characters,Da Vinci,M,G17SuINrv2H9FC6nvetn,Gng1FdSGZlhs6jKgzAxL,GFj5Qf6cNQ3Lgp8VKBwc,nNt0YcINdGadGcTx5fBM,GwtqU7RCQKrjzJ0dGhqT
Persona Characters,Tesla,M,uju3wxzG5OhpWcoi3SMy,VW65tSwHD38MQYBDtKGy,hqfrgApggtO1785R4Fsn,3rL9ZxRgBgIkh4tcbrEH,aPujh6S6yqHdNZ7Rn18L
Persona Characters,Napoleon,M,I1T6PEfqPxl45yKRN4aS,MLFHn2hZ3zKifXrugl26,f37Tyb9RuhPPJKa60pUr,aTTiK3YzK3dXETpuDE2h,HJZsH9Tm3FtUeJzIjWVE
Persona Characters,Cleopatra,F,Valery,Mila,Emelie,Toca,Jehnny
Persona Characters,Dostoyevsky,M,Bj9UqZbhQsanLzgalpEG,0oTMoyM0wBOiv66gewih,R89ZQJowZAEgiPNyC3dQ,mENvyIA7PhaLVkVtBgsA,ZCh4e9eZSUf41K4cmCEL
Persona Characters,Loki,M,5bh6Hc8SO3Yh1skN9Cqm,VvmLPzhPQHSqLOL9D1R7,XRxOSfsrfY33DhTprCzb,GOAZNavLupajyL3YafaD,PHKlYg202ODwQRa3Fxuo
Persona Characters,Zeus,M,goT3UYdM9bhm0n2lmKQx,NBqeXKdZHweef6y0B67V,UBXZKOKbt62aLQHhc1Jm,w3aQQZqtgGo2o2fsmvQ2,k8cFOyAg7B9qwBlDDNTC
Persona Characters,Aphrodite,F,Katherine,r0fLdYmTH96Lr4s10B6K,Delphine,Tiziana,nbcvT3C2tyOd2OsRAtUf
Persona Characters,Shiva,M,gReW7Niq8gxrfgxuUsmj,czb8zR3V35utWZxvKd9a,a5n9pJUnAhX4fn7lx3uo,xsSg7GkDPDhaGZpbKOLn,Vpv1YgvVd6CHIzOTiTt8
Persona Characters,Kierkegaard,M,sPzOOqSRgtzdT8DPbJYh,gGjaVIGkCSfKUIBYtNT2,7c65Pcpdzr0GkR748U7h,mgIrMWapSjeoucJqRfnQ,dlGxemPxFMTY7iXagmOj
Persona Characters,Hitler,M,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__
Public Figures,Trump,M,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__
Public Figures,Putin,M,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__
Public Figures,Elon,M,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__
Public Figures,DiCaprio,M,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__
Public Figures,Depp,M,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__,__PLACEHOLDER__
